epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,238.679,2.53743,3.27081,2.40381,1.59929,0.03167,0.09694,0.03849,0.01836,0.02667,0.08163,0.0291,0.00741,2.59948,3.66822,2.51104,1.39258,0.0072,0.0072,0.0072
74,242.08,2.21049,2.99126,2.29821,1.51022,0.03167,0.09694,0.03849,0.01836,0.02667,0.08163,0.0291,0.00741,2.59948,3.66822,2.51104,1.39258,0.0073,0.0073,0.0073
75,245.883,2.60496,2.95023,2.32261,1.65731,0.02833,0.08673,0.04673,0.02113,0.01833,0.05612,0.0279,0.00625,2.67584,3.27636,2.43045,1.46337,0.0074,0.0074,0.0074
76,249.334,1.98744,2.97899,2.12057,1.37872,0.02833,0.08673,0.04673,0.02113,0.01833,0.05612,0.0279,0.00625,2.67584,3.27636,2.43045,1.46337,0.0075,0.0075,0.0075
77,253.055,2.21414,2.89305,1.7825,1.35152,0.02833,0.08673,0.04673,0.02113,0.01833,0.05612,0.0279,0.00625,2.67584,3.27636,2.43045,1.46337,0.0076,0.0076,0.0076
78,256.699,2.35614,2.70962,2.11865,1.52721,0.02667,0.08163,0.03869,0.02097,0.01667,0.05102,0.01702,0.0059,3.01939,3.39545,2.50133,1.53914,0.0077,0.0077,0.0077
79,259.932,2.23465,2.52623,1.9334,1.4015,0.02667,0.08163,0.03869,0.02097,0.01667,0.05102,0.01702,0.0059,3.01939,3.39545,2.50133,1.53914,0.0078,0.0078,0.0078
80,263.607,1.9152,2.52231,1.92363,1.26846,0.02667,0.08163,0.03869,0.02097,0.01667,0.05102,0.01702,0.0059,3.01939,3.39545,2.50133,1.53914,0.0079,0.0079,0.0079
81,268.217,2.25486,3.25591,2.42117,1.51875,0.03167,0.09694,0.04369,0.02579,0.02,0.06122,0.01859,0.00436,2.82314,3.69463,2.43551,1.43671,0.008,0.008,0.008
82,271.537,2.10277,3.198,2.15877,1.5054,0.03167,0.09694,0.04369,0.02579,0.02,0.06122,0.01859,0.00436,2.82314,3.69463,2.43551,1.43671,0.0081,0.0081,0.0081
83,275.466,2.06365,2.75624,2.03262,1.40876,0.03167,0.09694,0.04369,0.02579,0.02,0.06122,0.01859,0.00436,2.82314,3.69463,2.43551,1.43671,0.0082,0.0082,0.0082
84,279.432,2.11886,3.12305,2.27607,1.48304,0.37051,0.03061,0.0487,0.02704,0.01807,0.02041,0.01756,0.00364,2.79491,4.00797,2.31375,1.54413,0.0083,0.0083,0.0083
85,283.266,2.18062,3.18848,2.27497,1.55239,0.37051,0.03061,0.0487,0.02704,0.01807,0.02041,0.01756,0.00364,2.79491,4.00797,2.31375,1.54413,0.0084,0.0084,0.0084
